;0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49
usa;0.11536448241838443;0.12214607422854679;0.12871176507636284;0.1350651702591759;0.14123262133931638;0.14723099923470387;0.1530788763861413;0.15879278433545868;0.16438574042272155;0.16986813845481902;0.17524676274878948;0.18053310350648763;0.1857281220582668;0.19084389121437956;0.19588762346731917;0.20086564317021058;0.20578290680893066;0.21065614840671446;0.2155056085956745;0.22035456025881658;0.22522516836704526;0.23014488475346034;0.2351478193324718;0.24026500891964012;0.2455301092027109;0.25097351394948647;0.25662458284657386;0.2625045096288376;0.26862967507269886;0.27501126077773874;0.2816506024702828;0.288546376711349;0.29568627057393054;0.3030423895195912;0.3105644635431323;0.31817902989261143;0.32578031793605955;0.33321440085049453;0.34028245035484106;0.3467515254546403;0.35239996162198806;0.35700670952325136;0.3604002319412946;0.36244550761878547;0.36302727464318224;0.36202395180950075;0.3592443096203127;0.35445744747310953;0.3472728804326669;0.3370006520867247
ch;0.5885801483078316;0.591311050864503;0.593736852665188;0.5959338175942812;0.5979297689638701;0.5997402226938628;0.6013628435547924;0.602791067241246;0.6040110068308473;0.6050077128803353;0.6057569124701655;0.6062271338836117;0.6063895698789687;0.606201926317061;0.6056219871867796;0.6046023234344068;0.6030952600953489;0.6010544570245762;0.5984356133491465;0.595193456400655;0.5912888050607246;0.5866849804738747;0.5813485102011043;0.5752548098878492;0.5683829202159907;0.5607166987816514;0.552242731554196;0.542964532163699;0.5328810040614369;0.5219931401336589;0.5103215190861834;0.49788317292702816;0.4847009956273476;0.47081561608675404;0.45627672966515004;0.4411412707146701;0.42548026087155394;0.4093784803350768;0.39293460613917053;0.3762494356090609;0.3594141739831609;0.34251272359576135;0.3256017549415659;0.3087263113059472;0.2919167704478931;0.2751735942624442;0.2584830747821065;0.24180139420338748;0.22509730298673167;0.20831208739223575
uk;0.1323815070309927;0.12777349668742244;0.12328738589377732;0.11893362287683137;0.11471498744342556;0.11062920755886632;0.10667596233010065;0.10285094160616182;0.09914954733123608;0.09556002025596727;0.09207759299082684;0.08869409198998647;0.08540263085886173;0.08219820835498513;0.0790714526168202;0.07601776710644595;0.07304034717307893;0.07013677461327697;0.06730711195662487;0.06455504406753475;0.061885286647228824;0.05930111351855285;0.056809158705957784;0.054410188926805804;0.05210182447434693;0.04988740739591251;0.04776732304437253;0.0457402779106403;0.04380349001295217;0.041958727296702684;0.0401968527654112;0.03851385655249959;0.036909132089709;0.03536942171137768;0.033883749778547884;0.03243728195657338;0.03101910942416174;0.02962127295849791;0.028234032720776084;0.026851900649589543;0.02546416275368619;0.02406494270973825;0.022646659082743197;0.02119842278827901;0.019708890657563097;0.018163457820739377;0.016552051439343272;0.014864530858822554;0.013093542389387477;0.011268657295040037
jp;0.15731560107450057;0.15145962735063515;0.1457232415335832;0.1400497127813416;0.1344083766303469;0.12878571587950732;0.1231757644636243;0.11757993075262288;0.11200384944931772;0.10646033511511137;0.10096472470316158;0.09553504900900707;0.09019222507932613;0.08495948092731659;0.07986195085637342;0.07492543253039642;0.07017228471534054;0.06562021550441689;0.061282360306889105;0.05717072613532702;0.05329110161928321;0.04964565109939295;0.04623066917409293;0.0430418723788966;0.04007355625620395;0.03731816492455914;0.034765117981152865;0.032401883424252625;0.030216880721329095;0.02819840690893335;0.026333899628377254;0.0246098776710724;0.023013025467474284;0.021528799733587095;0.02014310211981234;0.01884827765191236;0.017637565470758464;0.016504856689114424;0.015445717603472579;0.014459218233153938;0.013545823463526212;0.012698624752969484;0.011909960834107806;0.011171423795955596;0.010472050077077674;0.009797487707094888;0.009139175260727793;0.008491656166523991;0.007848755904033448;0.007220732182875582
emu;0.0005874190479127256;0.0005800494523587576;0.0005877611210502805;0.0006124312871196939;0.0006554045082644516;0.0007184618635173243;0.000803593109418767;0.0009121981864763393;0.0010463514179428562;0.001209594369263361;0.001404150926792894;0.0016335794427796606;0.001900541820335102;0.0022080082628282327;0.0025597834981970235;0.002960676322814648;0.003415334019493358;0.0039280877428252625;0.0045015353714892275;0.00513697236016033;0.00583805251793187;0.006610064695027429;0.007454899516033207;0.008373411123705467;0.00936849764618211;0.01044086273407577;0.011592636874711454;0.012821756987125283;0.014130705605535646;0.015518735732957919;0.016987476541998916;0.018535744156706675;0.020159911717294733;0.02185780181776789;0.02362742435609093;0.025460892877997066;0.027350344876070427;0.029292442851678573;0.03127958761094244;0.033306496814576224;0.0353688835888045;0.03745840208895683;0.03955189443876112;0.04162342685574617;0.04365205696974284;0.04563034725922609;0.04755478560973543;0.049427705746928625;0.05122571625883419;0.05278548798223419
em;0.005770842120377992;0.006729701416533774;0.007952993710038249;0.00940524520125027;0.011058841114776643;0.012895392769542276;0.01490296015592251;0.017073077878034297;0.019403504547934495;0.02189419892450365;0.0245498561602637;0.02737704216812757;0.030386910304241507;0.03358848492342951;0.03699720237451052;0.040628157435725634;0.04449386718780771;0.04860431670819023;0.052967770420175746;0.05758924077750637;0.06247158578778632;0.06761330545969167;0.0730089430703399;0.07865470876310282;0.08454309220456546;0.09066335221431479;0.0970076076989933;0.10356703988544523;0.11033824452604722;0.11731972915000835;0.12450964950774648;0.13191097198134422;0.13953066452424384;0.14738597113092203;0.1555045305372665;0.16393324690623567;0.17273240142139584;0.18198854631513772;0.1918236055707974;0.20238142323897917;0.21380699458883423;0.22625859732932277;0.23988949876152738;0.25483490763528654;0.27122295720454104;0.2892111611409947;0.30902660328777426;0.33095726555122784;0.3554618020283463;0.3834123830608898
