Date;USA Standard (Large+Mid Cap);SWITZERLAND Standard (Large+Mid Cap);UNITED KINGDOM Standard (Large+Mid Cap);JAPAN Standard (Large+Mid Cap);EMU Standard (Large+Mid Cap);EM (EMERGING MARKETS) Standard (Large+Mid Cap)
May 31, 2018;11,056.293;16,155.454;8,885.139;7,472.966;387.218;2,458.184
Jun 29, 2018;11,131.375;16,308.783;8,799.628;7,286.203;384.136;2,357.686
Jul 31, 2018;11,530.980;17,372.607;8,876.614;7,315.389;398.368;2,411.556
Aug 31, 2018;11,912.821;17,483.060;8,505.503;7,331.991;385.663;2,347.057
Sep 28, 2018;11,967.295;17,498.921;8,654.536;7,564.143;384.009;2,335.379
Oct 31, 2018;11,136.457;16,808.807;8,070.122;6,924.835;350.485;2,132.205
Nov 30, 2018;11,353.427;16,848.986;7,936.724;6,952.557;347.323;2,220.226
Dec 31, 2018;10,330.721;15,934.825;7,636.319;6,489.834;330.077;2,162.749
Jan 31, 2019;11,180.301;16,918.913;8,177.576;6,885.786;352.294;2,352.280
Feb 28, 2019;11,554.586;17,629.680;8,456.440;6,884.003;363.425;2,357.784
Mar 29, 2019;11,768.215;18,092.906;8,546.136;6,934.226;363.223;2,378.031
Apr 30, 2019;12,240.112;18,444.674;8,738.815;7,030.478;381.739;2,428.542
May 31, 2019;11,466.228;18,420.935;8,215.278;6,752.487;358.665;2,253.090
Jun 28, 2019;12,271.574;19,716.169;8,625.403;7,006.853;385.490;2,395.537
Jul 31, 2019;12,461.153;19,583.326;8,469.931;7,016.703;377.551;2,368.229
Aug 30, 2019;12,244.446;19,638.258;8,074.957;6,946.023;368.891;2,253.439
Sep 30, 2019;12,462.251;19,773.019;8,411.644;7,237.605;378.864;2,297.199
Oct 31, 2019;12,733.556;20,136.265;8,647.763;7,588.889;392.438;2,394.310
Nov 29, 2019;13,212.258;20,384.139;8,796.918;7,631.641;398.219;2,391.173
Dec 31, 2019;13,599.625;21,282.533;9,250.074;7,792.581;410.041;2,571.142
Jan 31, 2020;13,626.248;21,451.061;8,899.672;7,686.649;397.931;2,451.389
Feb 28, 2020;12,515.095;19,748.374;7,838.390;6,984.221;363.277;2,322.259
Mar 31, 2020;10,927.735;18,916.568;6,586.813;6,496.734;300.525;1,965.162
Apr 30, 2020;12,365.160;19,894.409;6,925.468;6,846.789;319.701;2,145.501
May 29, 2020;13,008.361;20,467.494;6,999.048;7,252.315;340.590;2,162.436
Jun 30, 2020;13,305.193;21,093.390;7,100.171;7,252.997;361.009;2,322.513
Jul 31, 2020;14,095.015;21,953.169;7,200.057;7,137.835;374.962;2,532.135
Aug 31, 2020;15,153.279;22,504.070;7,455.685;7,681.439;392.636;2,588.733
Sep 30, 2020;14,587.965;22,170.050;7,084.234;7,766.677;378.057;2,547.815
Oct 30, 2020;14,208.390;20,937.230;6,726.634;7,642.717;354.638;2,600.700
Nov 30, 2020;15,852.247;22,884.004;7,855.954;8,597.871;426.482;2,841.391
Dec 31, 2020;16,506.004;24,002.999;8,285.221;8,954.357;444.902;3,051.617
Jan 29, 2021;16,352.894;23,511.451;8,265.408;8,864.805;435.994;3,145.973
Feb 26, 2021;16,779.964;22,966.301;8,562.934;8,999.644;451.336;3,170.208
Mar 31, 2021;17,411.232;23,621.930;8,798.737;9,106.885;465.993;3,123.110
Apr 30, 2021;18,358.842;24,690.264;9,184.444;8,968.245;488.073;3,201.290
May 31, 2021;18,447.106;25,933.774;9,553.460;9,109.031;509.091;3,276.270
Jun 30, 2021;18,960.703;26,461.709;9,324.344;9,084.274;499.217;3,283.023
Jul 30, 2021;19,409.049;27,352.547;9,409.198;8,969.379;505.874;3,064.004
Aug 31, 2021;19,981.838;27,687.883;9,489.762;9,245.332;515.989;3,145.169
Sep 30, 2021;19,038.379;25,602.322;9,297.393;9,511.214;490.141;3,021.283
Oct 29, 2021;20,366.286;27,201.119;9,670.417;9,191.414;509.638;3,051.526
Nov 30, 2021;20,161.220;26,803.266;9,152.555;8,965.292;479.510;2,927.417
Dec 31, 2021;20,958.031;28,886.808;9,820.616;9,136.838;508.389;2,983.766
Jan 31, 2022;19,771.407;26,633.599;9,908.641;8,673.421;483.798;2,927.511
Feb 28, 2022;19,192.166;26,507.063;9,986.611;8,577.047;459.471;2,840.359
Mar 31, 2022;19,866.929;27,134.324;10,000.420;8,547.917;452.129;2,777.192
Apr 29, 2022;18,065.869;25,905.215;9,631.106;7,795.352;420.888;2,623.127
May 31, 2022;18,026.301;25,071.934;9,797.012;7,923.860;431.480;2,635.333
Jun 30, 2022;16,534.169;23,303.716;8,953.159;7,300.272;382.498;2,462.385
Jul 29, 2022;18,076.357;24,398.699;9,287.539;7,716.427;400.451;2,458.399
Aug 31, 2022;17,368.286;23,069.097;8,764.022;7,519.747;375.093;2,469.584
Sep 30, 2022;15,757.494;21,558.483;7,989.420;6,751.457;342.430;2,181.297
Oct 31, 2022;17,008.384;22,223.600;8,471.149;6,951.606;372.878;2,113.859
Nov 30, 2022;17,933.754;23,972.269;9,383.167;7,624.783;421.009;2,427.707
Dec 30, 2022;16,879.298;23,803.747;9,346.157;7,646.991;420.906;2,394.898
Jan 31, 2023;17,989.883;25,259.589;9,954.648;8,122.298;469.659;2,584.230
Feb 28, 2023;17,560.423;24,402.447;9,979.468;7,810.938;466.282;2,416.856
Mar 31, 2023;18,184.144;25,519.820;9,917.271;8,134.945;481.210;2,491.096
Apr 28, 2023;18,414.905;27,212.480;10,444.349;8,164.772;496.872;2,463.339
May 31, 2023;18,534.694;25,997.889;9,758.534;8,317.250;469.611;2,422.676
Jun 30, 2023;19,770.619;26,676.287;10,134.939;8,659.434;499.108;2,516.963
Jul 31, 2023;20,451.177;27,636.142;10,483.571;8,920.976;514.201;2,675.364
Aug 31, 2023;20,106.455;26,659.241;10,063.431;8,705.282;490.661;2,511.333
Sep 29, 2023;19,163.672;25,260.773;9,979.285;8,533.911;463.374;2,446.667
Oct 31, 2023;18,722.685;24,098.187;9,563.700;8,149.659;447.605;2,351.872
Nov 30, 2023;20,488.088;26,319.848;10,203.444;8,847.415;498.782;2,540.487
Dec 29, 2023;21,453.380;27,818.388;10,665.307;9,235.479;521.310;2,640.736
Jan 31, 2024;21,787.560;27,733.360;10,522.797;9,662.072;523.882;2,518.362
Feb 29, 2024;22,956.655;27,123.253;10,525.671;9,952.337;539.338;2,638.610
Mar 29, 2024;23,686.847;27,575.471;10,996.654;10,266.421;562.469;2,705.131
Apr 30, 2024;22,709.095;26,408.844;11,204.511;9,768.023;547.079;2,717.814
May 31, 2024;23,793.786;28,568.966;11,606.635;9,900.239;572.356;2,733.961
Jun 28, 2024;24,644.686;28,580.409;11,403.496;9,831.362;551.291;2,843.533
Jul 31, 2024;24,954.022;29,955.482;11,882.400;10,401.495;559.087;2,853.980
Aug 30, 2024;25,555.841;31,384.738;12,277.863;10,454.602;581.176;2,901.014
Sep 30, 2024;26,105.670;31,025.056;12,309.403;10,408.959;592.012;3,095.952
Oct 31, 2024;25,912.877;29,321.733;11,633.810;10,003.489;556.905;2,962.104
Nov 29, 2024;27,534.738;28,682.139;11,795.310;10,069.635;542.277;2,855.949
Dec 31, 2024;26,834.015;27,535.618;11,470.344;10,036.889;539.214;2,853.330
Jan 31, 2025;27,650.963;29,780.469;12,068.350;10,194.005;580.797;2,904.902
Feb 28, 2025;27,215.410;30,813.321;12,495.445;10,056.144;601.249;2,919.510
Mar 31, 2025;25,623.121;30,804.607;12,583.256;10,087.422;605.409;2,939.101
Apr 30, 2025;25,491.877;32,406.141;12,917.305;10,615.204;638.807;2,978.610
May 30, 2025;27,137.267;33,004.063;13,489.751;11,045.714;675.792;3,106.884
Jun 30, 2025;28,533.321;33,301.285;13,680.344;11,236.701;693.888;3,297.605
Jul 31, 2025;29,186.247;32,474.713;13,797.834;11,079.413;683.410;3,364.072
Aug 29, 2025;29,759.289;33,921.060;14,303.371;11,850.105;701.801;3,413.408
Sep 30, 2025;30,851.464;33,795.122;14,485.467;12,155.611;724.623;3,658.578
Oct 31, 2025;31,584.303;33,998.181;14,728.158;12,568.293;729.111;3,811.818
