"Date";"D0";"D1";"Value"
"2024-07";"M1";"USD1";"0.8812"
"2024-08";"M1";"USD1";"0.8485"
"2024-09";"M1";"USD1";"0.8433"
"2024-10";"M1";"USD1";"0.8653"
"2024-11";"M1";"USD1";"0.8811"
"2024-12";"M1";"USD1";"0.9038"
"2025-01";"M1";"USD1";"0.91075"
"2025-02";"M1";"USD1";"0.9019"
"2025-03";"M1";"USD1";"0.8807"
"2025-04";"M1";"USD1";"0.8256"
"2025-05";"M1";"USD1";"0.824"
"2025-06";"M1";"USD1";"0.7977"
"2025-07";"M1";"USD1";"0.8129"
"2025-08";"M1";"USD1";"0.8007"
"2025-09";"M1";"USD1";"0.7961"
"2025-10";"M1";"USD1";"0.8017"
